
1,Time,Displacement,Force
,(s),(mm),(N)
"","7.7800","0.1278","-0.0198"
"","7.8000","0.1281","-0.0457"
"","7.8200","0.1283","-0.0044"
"","7.8400","0.1286","0.0270"
"","7.8600","0.1289","0.0104"
"","7.8800","0.1292","0.0837"
"","7.9000","0.1296","0.0235"
"","7.9200","0.1300","-0.0571"
"","7.9400","0.1305","0.0133"
"","7.9600","0.1308","-0.0043"
"","7.9800","0.1312","-0.0239"
"","8.0000","0.1316","0.0387"
"","8.0200","0.1319","0.1061"
"","8.0400","0.1323","0.1195"
"","8.0600","0.1326","0.0516"
"","8.0800","0.1330","0.0754"
"","8.1000","0.1333","0.0470"
"","8.1200","0.1336","0.0495"
"","8.1400","0.1338","0.0006"
"","8.1600","0.1340","-0.0228"
"","8.1800","0.1343","0.0090"
"","8.2000","0.1345","0.0903"
"","8.2200","0.1349","0.0259"
"","8.2400","0.1352","-0.0006"
"","8.2600","0.1357","0.0496"
"","8.2800","0.1361","0.0622"
"","8.3000","0.1365","0.0516"
"","8.3200","0.1369","0.0712"
"","8.3400","0.1373","0.0803"
"","8.3600","0.1376","0.0487"
"","8.3800","0.1379","0.0068"
"","8.4000","0.1382","0.0062"
"","8.4200","0.1385","-0.0085"
"","8.4400","0.1389","0.0210"
"","8.4600","0.1392","0.0763"
"","8.4800","0.1394","0.0294"
"","8.5000","0.1397","0.0128"
"","8.5200","0.1400","0.0795"
"","8.5400","0.1402","0.0905"
"","8.5600","0.1406","0.0278"
"","8.5800","0.1409","-0.0115"
"","8.6000","0.1413","-0.0222"
"","8.6200","0.1417","-0.0625"
"","8.6400","0.1421","-0.0182"
"","8.6600","0.1425","-0.0404"
"","8.6800","0.1428","-0.0666"
"","8.7000","0.1432","-0.0076"
"","8.7200","0.1435","0.0995"
"","8.7400","0.1439","0.0704"
"","8.7600","0.1443","0.0685"
"","8.7800","0.1446","0.0866"
"","8.8000","0.1449","0.1270"
"","8.8200","0.1452","0.0708"
"","8.8400","0.1454","0.1103"
"","8.8600","0.1457","0.0606"
"","8.8800","0.1459","0.0003"
"","8.9000","0.1462","0.0629"
"","8.9200","0.1466","0.0329"
"","8.9400","0.1470","0.0048"
"","8.9600","0.1474","0.0457"
"","8.9800","0.1479","0.0295"
"","9.0000","0.1483","0.0209"
"","9.0200","0.1486","0.0599"
"","9.0400","0.1489","-0.0559"
"","9.0600","0.1492","-0.0689"
"","9.0800","0.1495","0.0012"
"","9.1000","0.1498","-0.0254"
"","9.1200","0.1502","0.0580"
"","9.1400","0.1505","0.1633"
"","9.1600","0.1508","0.1517"
"","9.1800","0.1511","0.0880"
"","9.2000","0.1513","0.1349"
"","9.2200","0.1516","0.0934"
"","9.2400","0.1519","-0.0353"
"","9.2600","0.1523","-0.0045"
"","9.2800","0.1526","0.0575"
"","9.3000","0.1530","-0.0273"
"","9.3200","0.1534","-0.0101"
"","9.3400","0.1538","0.0414"
"","9.3600","0.1542","0.0507"
"","9.3800","0.1545","0.0452"
"","9.4000","0.1549","0.0914"
"","9.4200","0.1552","0.0625"
"","9.4400","0.1556","0.0663"
"","9.4600","0.1560","-0.0228"
"","9.4800","0.1563","0.0073"
"","9.5000","0.1566","0.0102"
"","9.5200","0.1568","-0.0464"
"","9.5400","0.1571","-0.0210"
"","9.5600","0.1573","-0.0127"
"","9.5800","0.1576","0.0541"
"","9.6000","0.1579","0.0162"
"","9.6200","0.1582","-0.0438"
"","9.6400","0.1587","0.0452"
"","9.6600","0.1591","0.0920"
"","9.6800","0.1595","0.0758"
"","9.7000","0.1599","0.1419"
"","9.7200","0.1602","0.0207"
"","9.7400","0.1605","0.0118"
"","9.7600","0.1608","0.1125"
"","9.7800","0.1612","0.0951"
"","9.8000","0.1615","0.1356"
"","9.8200","0.1618","0.0731"
"","9.8400","0.1621","-0.0664"
"","9.8600","0.1624","-0.0488"
"","9.8800","0.1627","0.0346"
"","9.9000","0.1630","0.0220"
"","9.9200","0.1632","0.0666"
"","9.9400","0.1636","0.0867"
"","9.9600","0.1639","0.0255"
"","9.9800","0.1643","-0.0444"
"","10.0000","0.1647","0.0218"
"","10.0200","0.1651","0.0470"
"","10.0400","0.1655","0.0189"
"","10.0600","0.1658","0.1024"
"","10.0800","0.1662","0.0910"
"","10.1000","0.1665","0.0769"
"","10.1200","0.1669","0.0113"
"","10.1400","0.1673","0.0574"
"","10.1600","0.1677","0.0902"
"","10.1800","0.1680","0.1491"
"","10.2000","0.1682","0.1098"
"","10.2200","0.1684","0.0658"
"","10.2400","0.1687","0.0148"
"","10.2600","0.1689","0.0378"
"","10.2800","0.1692","0.1004"
"","10.3000","0.1695","0.0525"
"","10.3200","0.1700","0.0301"
"","10.3400","0.1704","0.0958"
"","10.3600","0.1708","0.0470"
"","10.3800","0.1712","0.0705"
"","10.4000","0.1716","0.0430"
"","10.4200","0.1719","0.0273"
"","10.4400","0.1722","0.0350"
"","10.4600","0.1725","0.0048"
"","10.4800","0.1728","-0.0069"
"","10.5000","0.1732","0.0099"
"","10.5200","0.1735","0.0509"
"","10.5400","0.1738","0.0376"
"","10.5600","0.1741","0.0705"
"","10.5800","0.1743","0.0313"
"","10.6000","0.1746","0.0454"
"","10.6200","0.1749","0.0074"
"","10.6400","0.1753","0.0225"
"","10.6600","0.1757","0.0345"
"","10.6800","0.1761","-0.0341"
"","10.7000","0.1765","-0.0378"
"","10.7200","0.1768","-0.0087"
"","10.7400","0.1772","0.0345"
"","10.7600","0.1775","0.0981"
"","10.7800","0.1779","0.0626"
"","10.8000","0.1782","0.0524"
"","10.8200","0.1786","0.0379"
"","10.8400","0.1789","-0.0011"
"","10.8600","0.1793","-0.0141"
"","10.8800","0.1795","0.0064"
"","10.9000","0.1798","0.0168"
"","10.9200","0.1800","0.0351"
"","10.9400","0.1803","0.0956"
"","10.9600","0.1805","0.0539"
"","10.9800","0.1808","-0.0232"
"","11.0000","0.1812","0.0798"
"","11.0200","0.1817","0.0580"
"","11.0400","0.1821","0.1182"
"","11.0600","0.1826","0.1270"
"","11.0800","0.1829","0.1012"
"","11.1000","0.1833","0.0916"
"","11.1200","0.1836","0.0042"
"","11.1400","0.1839","-0.0067"
"","11.1600","0.1842","0.0240"
"","11.1800","0.1845","0.0327"
"","11.2000","0.1848","0.0193"
"","11.2200","0.1851","0.0849"
"","11.2400","0.1854","0.0567"
"","11.2600","0.1857","-0.0113"
"","11.2800","0.1860","-0.0682"
"","11.3000","0.1862","0.0266"
"","11.3200","0.1866","0.0382"
"","11.3400","0.1869","0.0402"
"","11.3600","0.1874","-0.0192"
"","11.3800","0.1878","-0.0104"
"","11.4000","0.1881","0.0357"
"","11.4200","0.1885","0.0641"
"","11.4400","0.1888","0.0593"
"","11.4600","0.1892","0.0589"
"","11.4800","0.1895","0.0465"
"","11.5000","0.1899","0.1225"
"","11.5200","0.1903","0.1732"
"","11.5400","0.1907","0.1991"
"","11.5600","0.1910","0.1271"
"","11.5800","0.1912","0.0708"
"","11.6000","0.1915","0.0718"
"","11.6200","0.1917","0.0578"
"","11.6400","0.1919","0.0069"
"","11.6600","0.1922","0.0408"
"","11.6800","0.1926","0.0955"
"","11.7000","0.1930","0.1253"
"","11.7200","0.1935","0.0936"
"","11.7400","0.1939","-0.0024"
"","11.7600","0.1942","-0.0529"
"","11.7800","0.1946","0.0194"
"","11.8000","0.1948","0.0739"
"","11.8200","0.1951","0.1117"
"","11.8400","0.1955","0.1248"
"","11.8600","0.1958","0.0730"
"","11.8800","0.1961","0.0104"
"","11.9000","0.1965","0.1249"
"","11.9200","0.1968","0.1270"
"","11.9400","0.1971","0.0682"
"","11.9600","0.1973","0.0853"
